Acc Id,Source,Collection Time,Length,qR,initial date,date gap
QLH27870.1,USA,24-04-2020,1273,29.76636445,23-12-2019,123
QLH27882.1,USA,24-04-2020,1273,29.20291028,23-12-2019,123
QLH27894.1,USA,25-04-2020,1273,30.32738044,23-12-2019,124
QLH27906.1,USA,24-04-2020,1273,29.76636445,23-12-2019,123
QLH55683.1,Bangladesh: Barishal,06-07-2020,1273,30.55111789,23-12-2019,196
QLH55695.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55707.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55719.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55731.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55743.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55755.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55767.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55779.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55791.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55803.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55815.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55827.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH55839.1,Bangladesh: Barishal,06-07-2020,1273,29.74868294,23-12-2019,196
QLH56062.1,Saudi Arabia,03-02-2020,1273,29.76636445,23-12-2019,42
QLH56074.1,Saudi Arabia,04-02-2020,1273,29.76636445,23-12-2019,43
QLH56086.1,Saudi Arabia,09-02-2020,1273,29.76636445,23-12-2019,48
QLH56098.1,Saudi Arabia,10-02-2020,1273,29.76636445,23-12-2019,49
QLH56110.1,Saudi Arabia,10-02-2020,1273,29.76636445,23-12-2019,49
QLH56122.1,Saudi Arabia,13-02-2020,1273,29.76636445,23-12-2019,52
QLH56134.1,Saudi Arabia,13-02-2020,1273,29.76636445,23-12-2019,52
QLH56146.1,Saudi Arabia,16-02-2020,1273,29.76636445,23-12-2019,55
QLH56158.1,Saudi Arabia,17-02-2020,1273,29.76636445,23-12-2019,56
QLH56170.1,Saudi Arabia,18-02-2020,1273,29.76636445,23-12-2019,57
QLH56182.1,Saudi Arabia,18-02-2020,1273,29.76636445,23-12-2019,57
QLH56194.1,Saudi Arabia,20-02-2020,1273,29.76636445,23-12-2019,59
QLH56206.1,Saudi Arabia,23-02-2020,1273,29.76636445,23-12-2019,62
QLH56218.1,Saudi Arabia,24-02-2020,1273,29.76636445,23-12-2019,63
QLH56230.1,Saudi Arabia,26-02-2020,1273,30.01341633,23-12-2019,65
QLH56242.1,Saudi Arabia,27-02-2020,1273,29.76636445,23-12-2019,66
QLH56254.1,Saudi Arabia,01-03-2020,1273,29.76636445,23-12-2019,69
QLH56266.1,Bangladesh: Barishal,06-07-2020,1273,31.42023535,23-12-2019,196
QLH56278.1,Bangladesh: Barishal,06-07-2020,1273,29.87512274,23-12-2019,196
QLH56614.1,Bangladesh: Barishal,06-07-2020,1273,29.25044768,23-12-2019,196
QLH56626.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH56673.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH56685.1,Bangladesh: Barishal,06-07-2020,1273,29.76636445,23-12-2019,196
QLH56706.1,Bangladesh,06-07-2020,1273,30.1892142,23-12-2019,196
QLH57594.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57606.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57618.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57630.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57654.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57666.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57678.1,USA: FL,17-03-2020,1273,29.76636445,23-12-2019,85
QLH57690.1,USA: FL,18-03-2020,1273,30.16105055,23-12-2019,86
QLH57702.1,USA: FL,13-04-2020,1273,29.76636445,23-12-2019,112
QLH57714.1,USA: FL,13-04-2020,1273,29.64457086,23-12-2019,112
QLH57726.1,USA: FL,14-04-2020,1273,30.16105055,23-12-2019,113
QLH57738.1,USA: FL,14-04-2020,1273,30.16105055,23-12-2019,113
QLH57750.1,USA: FL,14-04-2020,1273,30.16105055,23-12-2019,113
QLH57762.1,USA: FL,14-04-2020,1273,30.16105055,23-12-2019,113
QLH57773.1,USA: FL,14-04-2020,1273,29.76636445,23-12-2019,113
QLH57785.1,USA: FL,14-04-2020,1273,29.76636445,23-12-2019,113
QLH57797.1,USA: FL,14-04-2020,1273,29.76636445,23-12-2019,113
QLH57809.1,USA: FL,14-04-2020,1273,29.76636445,23-12-2019,113
QLH57821.1,USA: FL,14-04-2020,1273,29.76636445,23-12-2019,113
QLH57833.1,USA: FL,14-04-2020,1273,30.16105055,23-12-2019,113
QLH57845.1,USA: FL,14-04-2020,1273,29.76636445,23-12-2019,113
QLH57857.1,USA: FL,14-04-2020,1273,30.16105055,23-12-2019,113
QLH57869.1,USA: FL,16-04-2020,1273,30.16105055,23-12-2019,115
QLH57881.1,USA: FL,14-04-2020,1273,30.29948638,23-12-2019,113
QLH57893.1,USA: FL,15-04-2020,1273,29.76636445,23-12-2019,114
QLH57905.1,USA: FL,15-04-2020,1273,29.76636445,23-12-2019,114
QLH57917.1,USA: FL,15-04-2020,1273,30.16105055,23-12-2019,114
QLH57929.1,USA: FL,15-04-2020,1273,30.16105055,23-12-2019,114
QLH57941.1,USA: FL,15-04-2020,1273,29.76636445,23-12-2019,114
QLH57953.1,USA: FL,15-04-2020,1273,29.76636445,23-12-2019,114
QLH57965.1,USA: FL,15-04-2020,1273,29.76636445,23-12-2019,114
QLH58000.1,USA: FL,16-04-2020,1273,29.76636445,23-12-2019,115
QLH58012.1,USA: FL,16-04-2020,1273,29.76636445,23-12-2019,115
QLH58024.1,USA: FL,16-04-2020,1273,29.76636445,23-12-2019,115
QLH58036.1,USA: FL,16-04-2020,1273,29.76636445,23-12-2019,115
QLH58048.1,USA: FL,16-04-2020,1273,29.76636445,23-12-2019,115
QLH58060.1,USA: FL,16-04-2020,1273,29.64457086,23-12-2019,115
QLH58072.1,USA: FL,16-04-2020,1273,29.64457086,23-12-2019,115
QLH58084.1,USA: FL,16-04-2020,1273,30.16105055,23-12-2019,115
QLH58096.1,USA: FL,16-04-2020,1273,29.76636445,23-12-2019,115
QLH58108.1,USA: FL,17-04-2020,1273,29.76636445,23-12-2019,116
QLH58120.1,USA: FL,17-04-2020,1273,29.76636445,23-12-2019,116
QLH58132.1,USA: FL,17-04-2020,1273,29.76636445,23-12-2019,116
QLH58144.1,USA: FL,17-04-2020,1273,29.76636445,23-12-2019,116
QLH58156.1,USA: FL,17-04-2020,1273,29.76636445,23-12-2019,116
QLH58168.1,USA: FL,18-04-2020,1273,30.16105055,23-12-2019,117
QLH58180.1,USA: FL,18-04-2020,1273,29.64457086,23-12-2019,117
QLH58192.1,USA: FL,18-04-2020,1273,29.81120781,23-12-2019,117
QLH58204.1,USA: FL,20-04-2020,1273,29.76636445,23-12-2019,119
QLH58228.1,USA: FL,21-04-2020,1273,29.76636445,23-12-2019,120
QLH58240.1,USA: FL,21-04-2020,1273,29.76636445,23-12-2019,120
QLH58252.1,USA: FL,21-04-2020,1273,29.65992545,23-12-2019,120
QLH58264.1,USA: FL,21-04-2020,1273,29.76636445,23-12-2019,120
QLH58276.1,USA: FL,21-04-2020,1273,29.76636445,23-12-2019,120
QLH58288.1,USA: FL,21-04-2020,1273,29.76636445,23-12-2019,120
QLH58300.1,USA: FL,22-04-2020,1273,29.76636445,23-12-2019,121
QLH58312.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58324.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58336.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58348.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58360.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58372.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58384.1,USA: FL,23-04-2020,1273,29.76636445,23-12-2019,122
QLH58396.1,USA: FL,23-04-2020,1273,28.99911122,23-12-2019,122
QLH58408.1,USA: FL,24-04-2020,1273,29.76636445,23-12-2019,123
QLH58420.1,USA: FL,24-04-2020,1273,28.99911122,23-12-2019,123
QLH58432.1,USA: FL,24-04-2020,1273,29.76636445,23-12-2019,123
QLH58444.1,USA: FL,24-04-2020,1273,30.02393753,23-12-2019,123
QLH58456.1,USA: FL,24-04-2020,1273,29.76636445,23-12-2019,123
QLH58468.1,USA: FL,24-04-2020,1273,28.99911122,23-12-2019,123
QLH58480.1,USA: FL,24-04-2020,1273,29.76636445,23-12-2019,123
QLH58492.1,USA: FL,24-04-2020,1273,29.76636445,23-12-2019,123
QLH58504.1,USA: FL,24-04-2020,1273,29.76636445,23-12-2019,123
QLH58516.1,USA: FL,30-04-2020,1273,29.8969907,23-12-2019,129
QLH58528.1,USA: FL,30-04-2020,1273,29.76636445,23-12-2019,129
QLH58540.1,USA: FL,30-04-2020,1273,28.99911122,23-12-2019,129
QLH58552.1,USA: FL,30-04-2020,1273,29.76636445,23-12-2019,129
QLH58564.1,USA: FL,30-04-2020,1273,29.76636445,23-12-2019,129
QLH58576.1,USA: FL,30-04-2020,1273,29.76636445,23-12-2019,129
QLH58600.1,USA: FL,14-05-2020,1273,30.27669948,23-12-2019,143
QLH58612.1,USA: FL,14-05-2020,1273,29.20291028,23-12-2019,143
QLH58624.1,USA: FL,15-05-2020,1273,29.76636445,23-12-2019,144
QLH58648.1,USA: FL,15-05-2020,1273,28.84145751,23-12-2019,144
QLH58672.1,USA: FL,15-05-2020,1273,28.99911122,23-12-2019,144
QLH58684.1,USA: FL,15-05-2020,1273,28.99911122,23-12-2019,144
QLH58696.1,USA: FL,15-05-2020,1273,29.76636445,23-12-2019,144
QLH58708.1,USA: FL,15-05-2020,1273,30.16105055,23-12-2019,144
QLH58720.1,USA: FL,15-05-2020,1273,29.76636445,23-12-2019,144
QLH58732.1,USA: FL,15-05-2020,1273,30.16120705,23-12-2019,144
QLH58744.1,USA: FL,15-05-2020,1273,28.99911122,23-12-2019,144
QLH58756.1,USA: FL,15-05-2020,1273,30.02393753,23-12-2019,144
QLH58779.1,USA: FL,15-05-2020,1273,30.02393753,23-12-2019,144
QLH58802.1,USA: FL,15-05-2020,1273,30.45952184,23-12-2019,144
QLH58814.1,USA: FL,16-05-2020,1273,29.8686028,23-12-2019,145
QLH58826.1,USA: FL,16-05-2020,1273,28.99911122,23-12-2019,145
QLH58838.1,USA: FL,16-05-2020,1273,30.02393753,23-12-2019,145
QLH58874.1,USA: FL,30-05-2020,1273,28.99911122,23-12-2019,159
QLH58886.1,USA: FL,30-05-2020,1273,28.99911122,23-12-2019,159
QLH58898.1,USA: FL,03-06-2020,1273,28.99911122,23-12-2019,163
QLH58910.1,USA: FL,02-06-2020,1273,28.99911122,23-12-2019,162
QLH58922.1,USA: FL,02-06-2020,1273,29.76636445,23-12-2019,162
QLH58934.1,USA: FL,02-06-2020,1273,29.76636445,23-12-2019,162
QLH58946.1,USA: FL,02-06-2020,1273,29.76636445,23-12-2019,162
QLH58958.1,USA: FL,02-06-2020,1273,30.02393753,23-12-2019,162
QLH58970.1,USA: FL,03-06-2020,1273,29.76636445,23-12-2019,163
QLH58982.1,USA: FL,03-06-2020,1273,28.99911122,23-12-2019,163
QLH58994.1,USA: FL,03-06-2020,1273,29.76636445,23-12-2019,163
QLH59006.1,USA: FL,03-06-2020,1273,28.99911122,23-12-2019,163
QLH59018.1,USA: FL,03-06-2020,1273,28.99911122,23-12-2019,163
QLH59030.1,USA: FL,03-06-2020,1273,29.76636445,23-12-2019,163
QLH59042.1,USA: FL,04-06-2020,1273,29.91830426,23-12-2019,164
QLH59054.1,USA: FL,04-06-2020,1273,30.26931426,23-12-2019,164
QLG75125.1,Bahrain,22-06-2020,1273,30.02393753,23-12-2019,182
QLG75137.1,Australia: Victoria,24-03-2020,1273,28.99911122,23-12-2019,92
QLG75149.1,Australia: Victoria,24-03-2020,1273,28.99911122,23-12-2019,92
QLG75161.1,Australia: Victoria,24-03-2020,1273,28.99911122,23-12-2019,92
QLG75173.1,Australia: Victoria,24-03-2020,1273,30.26931426,23-12-2019,92
QLG75185.1,Australia: Victoria,24-03-2020,1273,30.02393753,23-12-2019,92
QLG75197.1,Australia: Victoria,25-03-2020,1273,28.99911122,23-12-2019,93
QLG75209.1,Australia: Victoria,29-03-2020,1273,28.99911122,23-12-2019,97
QLG75221.1,Australia: Victoria,27-03-2020,1273,29.45309846,23-12-2019,95
QLG75233.1,Australia: Victoria,29-03-2020,1273,29.76636445,23-12-2019,97
QLG75245.1,Australia: Victoria,27-03-2020,1273,29.7450237,23-12-2019,95
QLG75257.1,Australia: Victoria,02-04-2020,1273,29.76636445,23-12-2019,101
QLG75269.1,Australia: Victoria,16-04-2020,1273,29.76636445,23-12-2019,115
QLG75281.1,Australia: Victoria,16-04-2020,1273,29.76636445,23-12-2019,115
QLG75293.1,Australia: Victoria,02-05-2020,1273,29.8686028,23-12-2019,131
QLG75305.1,Australia: Victoria,05-05-2020,1273,28.99911122,23-12-2019,134
QLG75317.1,Australia: Victoria,02-05-2020,1273,28.99911122,23-12-2019,131
QLG75329.1,Australia: Victoria,02-04-2020,1273,28.99911122,23-12-2019,101
QLG75341.1,Australia: Victoria,16-04-2020,1273,28.99911122,23-12-2019,115
QLG75353.1,Australia: Victoria,23-05-2020,1273,28.99911122,23-12-2019,152
QLG75365.1,Australia: Victoria,24-05-2020,1273,28.99911122,23-12-2019,153
QLG75377.1,Australia: Victoria,28-05-2020,1273,30.02393753,23-12-2019,157
QLG75389.1,Australia: Victoria,28-05-2020,1273,30.02393753,23-12-2019,157
QLG75401.1,Australia: Victoria,28-05-2020,1273,30.02393753,23-12-2019,157
QLG75413.1,Australia: Victoria,29-05-2020,1273,28.99911122,23-12-2019,158
QLG75425.1,Australia: Victoria,28-05-2020,1273,28.99911122,23-12-2019,157
QLG75437.1,Australia: Victoria,29-05-2020,1273,30.02393753,23-12-2019,158
QLG75449.1,Australia: Victoria,28-05-2020,1273,28.99911122,23-12-2019,157
QLG75461.1,Australia: Victoria,27-05-2020,1273,28.99911122,23-12-2019,156
QLG75473.1,Australia: Victoria,29-05-2020,1273,28.99911122,23-12-2019,158
QLG75485.1,Australia: Victoria,28-05-2020,1273,30.02393753,23-12-2019,157
QLG75497.1,Australia: Victoria,27-05-2020,1273,30.02393753,23-12-2019,156
QLG75509.1,Australia: Victoria,28-05-2020,1273,28.99911122,23-12-2019,157
QLG75521.1,Australia: Victoria,28-05-2020,1273,28.99911122,23-12-2019,157
QLG75533.1,Australia: Victoria,28-05-2020,1273,28.99911122,23-12-2019,157
QLG75545.1,Australia: Victoria,30-05-2020,1273,28.99911122,23-12-2019,159
QLG75557.1,Australia: Victoria,30-05-2020,1273,28.99911122,23-12-2019,159
QLG75569.1,Australia: Victoria,30-05-2020,1273,29.76636445,23-12-2019,159
QLG75581.1,Australia: Victoria,30-05-2020,1273,28.99911122,23-12-2019,159
QLG75593.1,Australia: Victoria,29-05-2020,1273,30.16105055,23-12-2019,158
QLG75605.1,Australia: Victoria,01-06-2020,1273,30.16105055,23-12-2019,161
QLG75617.1,Australia: Victoria,30-05-2020,1273,30.16105055,23-12-2019,159
QLG75629.1,Australia: Victoria,31-05-2020,1273,30.16105055,23-12-2019,160
QLG75641.1,Australia: Victoria,30-05-2020,1273,30.34000641,23-12-2019,159
QLG75653.1,Australia: Victoria,31-05-2020,1273,29.76636445,23-12-2019,160
QLG75665.1,Australia: Victoria,01-06-2020,1273,29.76636445,23-12-2019,161
QLG75677.1,Australia: Victoria,01-06-2020,1273,29.76636445,23-12-2019,161
QLG75689.1,Australia: Victoria,01-06-2020,1273,29.76636445,23-12-2019,161
QLG75701.1,Australia: Victoria,01-06-2020,1273,29.76636445,23-12-2019,161
QLG75713.1,Australia: Victoria,27-05-2020,1273,29.76636445,23-12-2019,156
QLG75725.1,Australia: Victoria,15-05-2020,1273,29.76636445,23-12-2019,144
QLG75737.1,Australia: Victoria,15-05-2020,1273,29.76636445,23-12-2019,144
QLG75749.1,Australia: Victoria,15-05-2020,1273,29.41462032,23-12-2019,144
QLG75761.1,Australia: Victoria,03-06-2020,1273,29.76636445,23-12-2019,163
QLG75773.1,Australia: Victoria,03-06-2020,1273,29.76636445,23-12-2019,163
QLG75785.1,Australia: Victoria,05-06-2020,1273,29.76636445,23-12-2019,165
QLG75797.1,Australia: Victoria,05-06-2020,1273,29.76636445,23-12-2019,165
QLG75809.1,Australia: Victoria,06-06-2020,1273,29.76636445,23-12-2019,166
QLG75821.1,Australia: Victoria,06-06-2020,1273,29.76636445,23-12-2019,166
QLG75833.1,Australia: Victoria,09-06-2020,1273,29.76636445,23-12-2019,169
QLG75845.1,Australia: Victoria,09-06-2020,1273,29.9491476,23-12-2019,169
QLG75857.1,Australia: Victoria,09-06-2020,1273,29.76636445,23-12-2019,169
QLG75869.1,Australia: Victoria,09-06-2020,1273,29.76636445,23-12-2019,169
QLG75881.1,Australia: Victoria,09-06-2020,1273,29.76636445,23-12-2019,169
QLG75893.1,Australia: Victoria,09-06-2020,1273,29.76636445,23-12-2019,169
QLG75905.1,Australia: Victoria,10-06-2020,1273,29.76636445,23-12-2019,170
QLG75917.1,Australia: Victoria,11-06-2020,1273,30.22758214,23-12-2019,171
QLG75929.1,Australia: Victoria,11-06-2020,1273,29.76636445,23-12-2019,171
QLG75941.1,Australia: Victoria,11-06-2020,1273,29.76636445,23-12-2019,171
QLG75953.1,Australia: Victoria,11-06-2020,1273,29.76636445,23-12-2019,171
QLG75965.1,Australia: Victoria,10-06-2020,1273,29.76636445,23-12-2019,170
QLG75977.1,Australia: Victoria,11-06-2020,1273,29.76636445,23-12-2019,171
QLG75989.1,Australia: Victoria,11-06-2020,1273,29.63460214,23-12-2019,171
QLG76001.1,Australia: Victoria,12-06-2020,1273,29.76636445,23-12-2019,172
QLG76013.1,Australia: Victoria,12-06-2020,1273,29.76636445,23-12-2019,172
QLG76025.1,Australia: Northern Territory,2020,1273,29.76636445,23-12-2019,-41802
QLG76037.1,Australia: Northern Territory,2020,1273,29.74674311,23-12-2019,-41802
QLG76049.1,Australia: Northern Territory,2020,1273,29.76636445,23-12-2019,-41802
QLG76061.1,Australia: Victoria,13-06-2020,1273,29.76636445,23-12-2019,173
QLG76073.1,Australia: Victoria,12-06-2020,1273,29.76636445,23-12-2019,172
QLG76085.1,Australia: Victoria,12-06-2020,1273,29.76636445,23-12-2019,172
QLG76097.1,Australia: Victoria,14-06-2020,1273,30.27669948,23-12-2019,174
QLG76109.1,Australia: Victoria,14-06-2020,1273,29.76636445,23-12-2019,174
QLG76121.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76133.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76145.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76157.1,Australia: Victoria,15-06-2020,1273,29.74674311,23-12-2019,175
QLG76169.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76181.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76193.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76205.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76217.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76229.1,Australia: Victoria,15-06-2020,1273,29.76636445,23-12-2019,175
QLG76241.1,Australia: Victoria,16-06-2020,1273,29.76636445,23-12-2019,176
QLG76253.1,Australia: Victoria,16-06-2020,1273,29.76636445,23-12-2019,176
QLG76265.1,Australia: Victoria,16-06-2020,1273,29.76636445,23-12-2019,176
QLG76277.1,Australia: Victoria,17-06-2020,1273,29.27993256,23-12-2019,177
QLG76289.1,Australia: Victoria,17-06-2020,1273,29.76636445,23-12-2019,177
QLG76301.1,Australia: Victoria,15-06-2020,1273,30.09797923,23-12-2019,175
QLG76313.1,Australia: Victoria,17-06-2020,1273,29.76636445,23-12-2019,177
QLG76325.1,Australia: Victoria,17-06-2020,1273,29.76636445,23-12-2019,177
QLG76349.1,Australia: Victoria,18-06-2020,1273,29.76636445,23-12-2019,178
QLG76361.1,Australia: Victoria,18-06-2020,1273,29.76636445,23-12-2019,178
QLG76373.1,Australia: Victoria,18-06-2020,1273,29.76636445,23-12-2019,178
QLG76385.1,Australia: Victoria,19-06-2020,1273,29.76636445,23-12-2019,179
QLG76397.1,Australia: Victoria,19-06-2020,1273,29.76636445,23-12-2019,179
QLG76409.1,Australia: Victoria,19-06-2020,1273,29.76636445,23-12-2019,179
